RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-000001,Sonic Drive-In,Burgers,800 N CANAL BLVD,Thibodaux,LA,70301,US,29.814697,-90.814742,Datafiniti_2018
LOC-000002,McDonald's,Burgers,3131 N MAYFAIR RD,Milwaukee,WI,53222,US,43.075749,-88.048034,Datafiniti_2018
LOC-000003,McDonald's,Burgers,2626 ALLEN BLVD,Middleton,WI,53562,US,43.103943,-89.487109,Datafiniti_2018
LOC-000004,McDonald's,Burgers,210 3RD ST,Saint Marys,WV,26170,US,39.385372,-81.210365,Datafiniti_2018
LOC-000005,McDonald's,Burgers,210 CABELA DR,Triadelphia,WV,26059,US,40.060609,-80.600557,Datafiniti_2018
LOC-000006,Burger King,Burgers,1 MARIPOSA ST,Vallejo,CA,94590,US,38.105919,-122.231822,Datafiniti_2018
LOC-000007,Burger King,Burgers,681 ELMIRA RD,Vacaville,CA,95687,US,38.351905,-121.950658,Datafiniti_2018
LOC-000008,Burger King,Burgers,8810 GARFIELD AVE,South Gate,CA,90280,US,33.950455,-118.164355,Datafiniti_2018
LOC-000009,Burger King,Burgers,13796 MONO WAY,Sonora,CA,95370,US,37.977772,-120.326176,Datafiniti_2018
LOC-000010,Burger King,Burgers,700 GRAVENSTEIN HWY N,Sebastopol,CA,95472,US,38.407691,-122.838681,Datafiniti_2018
LOC-000011,Burger King,Burgers,227 MOUNT HERMON RD,Scotts Valley,CA,95066,US,37.045364,-122.027401,Datafiniti_2018
LOC-000012,Burger King,Burgers,741 STONY POINT RD,Santa Rosa,CA,95407,US,38.428141,-122.741898,Datafiniti_2018
LOC-000013,Burger King,Burgers,2542 GUERNEVILLE RD,Santa Rosa,CA,95401,US,38.452162,-122.770695,Datafiniti_2018
LOC-000014,McDonald's,Burgers,3137 S 76TH ST,Milwaukee,WI,53219,US,42.987434,-88.008084,Datafiniti_2018
LOC-000015,McDonald's,Burgers,3760 WILLIAM PENN HWY,Monroeville,PA,15146,US,40.435713,-79.786683,Datafiniti_2018
LOC-000016,McDonald's,Burgers,3820 WILLIAM PENN HWY,Murrysville,PA,15668,US,40.427214,-79.698899,Datafiniti_2018
LOC-000017,McDonald's,Burgers,180 MARKET ST,Nesquehoning,PA,18240,US,40.855364,-75.817927,Datafiniti_2018
LOC-000018,Taco Bell,Mexican,336 S ANDOVER RD,Andover,KS,67002,US,37.683294,-97.135292,Datafiniti_2018
LOC-000019,Taco Bell,Mexican,721 N MAIN ST,El Dorado,KS,67042,US,37.825028,-96.849676,Datafiniti_2018
LOC-000020,Taco Bell,Mexican,1808 CALUMET AVE,Valparaiso,IN,46383,US,41.484701,-87.051313,Datafiniti_2018
